nm, %T
1536.000000, 73.628338
1534.000000, 73.615013
1532.000000, 73.630518
1530.000000, 73.636546
1528.000000, 73.608384
1526.000000, 73.631280
1524.000000, 73.665373
1522.000000, 73.651976
1520.000000, 73.665210
1518.000000, 73.689774
1516.000000, 73.671351
1514.000000, 73.701408
1512.000000, 73.700535
1510.000000, 73.719733
1508.000000, 73.778536
1506.000000, 73.776896
1504.000000, 73.761084
1502.000000, 73.838826
1500.000000, 73.844362
1498.000000, 73.840410
1496.000000, 73.936172
1494.000000, 73.925120
1492.000000, 73.955352
1490.000000, 74.075336
1488.000000, 74.033818
1486.000000, 74.075479
1484.000000, 74.162863
1482.000000, 74.151273
1480.000000, 74.225224
1478.000000, 74.301702
1476.000000, 74.287315
1474.000000, 74.391977
1472.000000, 74.456529
1470.000000, 74.443013
1468.000000, 74.574419
1466.000000, 74.624453
1464.000000, 74.658471
1462.000000, 74.795013
1460.000000, 74.813721
1458.000000, 74.838738
1456.000000, 74.958453
1454.000000, 75.008849
1452.000000, 75.076392
1450.000000, 75.191124
1448.000000, 75.217829
1446.000000, 75.312884
1444.000000, 75.425567
1442.000000, 75.450795
1440.000000, 75.569857
1438.000000, 75.672168
1436.000000, 75.720438
1434.000000, 75.886603
1432.000000, 75.972816
1430.000000, 76.001202
1428.000000, 76.154571
1426.000000, 76.267987
1424.000000, 76.336765
1422.000000, 76.489794
1420.000000, 76.573417
1418.000000, 76.647524
1416.000000, 76.806912
1414.000000, 76.887720
1412.000000, 76.990627
1410.000000, 77.145933
1408.000000, 77.225111
1406.000000, 77.345008
1404.000000, 77.523178
1402.000000, 77.613289
1400.000000, 77.753165
1398.000000, 77.940397
1396.000000, 78.045947
1394.000000, 78.197884
1392.000000, 78.379008
1390.000000, 78.461611
1388.000000, 78.599720
1386.000000, 78.786590
1384.000000, 78.889658
1382.000000, 79.057456
1380.000000, 79.258312
1378.000000, 79.374435
1376.000000, 79.546032
1374.000000, 79.708549
1372.000000, 79.810843
1370.000000, 80.005336
1368.000000, 80.218322
1366.000000, 80.392018
1364.000000, 80.628649
1362.000000, 80.848608
1360.000000, 81.012444
1358.000000, 81.240364
1356.000000, 81.437528
1354.000000, 81.567513
1352.000000, 81.772503
1350.000000, 81.968057
1348.000000, 82.103191
1346.000000, 82.307367
1344.000000, 82.501476
1342.000000, 82.648226
1340.000000, 82.877893
1338.000000, 83.107226
1336.000000, 83.265732
1334.000000, 83.479789
1332.000000, 83.691326
1330.000000, 83.875540
1328.000000, 84.136154
1326.000000, 84.367182
1324.000000, 84.539278
1322.000000, 84.805364
1320.000000, 85.044130
1318.000000, 85.218175
1316.000000, 85.480349
1314.000000, 85.717487
1312.000000, 85.896913
1310.000000, 86.167176
1308.000000, 86.410360
1306.000000, 86.592597
1304.000000, 86.844475
1302.000000, 87.073080
1300.000000, 87.294026
1298.000000, 87.558858
1296.000000, 87.775942
1294.000000, 88.009677
1292.000000, 88.292479
1290.000000, 88.510771
1288.000000, 88.746188
1286.000000, 89.011607
1284.000000, 89.230588
1282.000000, 89.480438
1280.000000, 89.756700
1278.000000, 89.993011
1276.000000, 90.221109
1274.000000, 90.478699
1272.000000, 90.738991
1270.000000, 90.976974
1268.000000, 91.213152
1266.000000, 91.464858
1264.000000, 91.693759
1262.000000, 91.927755
1260.000000, 92.177125
1258.000000, 92.399169
1256.000000, 92.649343
1254.000000, 92.907955
1252.000000, 93.130612
1250.000000, 93.379660
1248.000000, 93.614598
1246.000000, 93.835946
1244.000000, 94.113628
1242.000000, 94.347057
1240.000000, 94.560116
1238.000000, 94.832793
1236.000000, 95.048216
1234.000000, 95.269439
1232.000000, 95.531246
1230.000000, 95.702869
1228.000000, 95.908900
1226.000000, 96.162223
1224.000000, 96.337491
1222.000000, 96.544172
1220.000000, 96.755101
1218.000000, 96.904487
1216.000000, 97.126358
1214.000000, 97.321358
1212.000000, 97.478182
1210.000000, 97.703386
1208.000000, 97.847272
1206.000000, 97.991869
1204.000000, 98.207497
1202.000000, 98.327814
1200.000000, 98.481106
1198.000000, 98.685511
1196.000000, 98.781634
1194.000000, 98.920106
1192.000000, 99.060790
1190.000000, 99.161934
1188.000000, 99.276497
1186.000000, 99.362289
1184.000000, 99.485522
1182.000000, 99.581747
1180.000000, 99.630366
1178.000000, 99.708067
1176.000000, 99.784390
1174.000000, 99.829604
1172.000000, 99.874696
1170.000000, 99.920477
1168.000000, 99.958721
1166.000000, 99.982583
1164.000000, 100.010634
1162.000000, 100.014022
1160.000000, 99.993928
1158.000000, 100.002919
1156.000000, 99.987742
1154.000000, 99.940604
1152.000000, 99.905715
1150.000000, 99.837798
1148.000000, 99.792218
1146.000000, 99.764996
1144.000000, 99.655754
1142.000000, 99.576332
1140.000000, 99.499721
1138.000000, 99.355228
1136.000000, 99.253122
1134.000000, 99.142965
1132.000000, 98.966429
1130.000000, 98.854154
1128.000000, 98.714450
1126.000000, 98.490454
1124.000000, 98.334499
1122.000000, 98.159465
1120.000000, 97.948183
1118.000000, 97.797358
1116.000000, 97.585840
1114.000000, 97.317041
